produto,categoria,descricao,preco,imagem,link_mercado_livre,link_shopify
Blend Black Spray,Proteção e Acabamento,"Revitalizador de plásticos que devolve a cor original com acabamento uniforme.",49.90,blend_black_spray.jpg,https://www.mercadolivre.com.br/cera-blend-black-spray-carnauba-e-silica-500ml-vonixx/up/MLBU1432687291?pdp_filters=item_id%3AMLB3092122467#origin%3Dshare%26sid%3Dshare%26wid%3DMLB3092122467,https://www.shopify.com/br
Delet,Descontaminação,"Removedor de piche, cola e contaminantes difíceis sem agredir a superfície.",34.90,delet.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Glazy,Proteção e Brilho,"Selante spray que promove brilho intenso e proteção hidrorrepelente.",34.90,glazy.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Hidracouro,Interior,"Hidratante para couro que mantém a maciez e evita rachaduras.",49.90,hidracouro.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Hydrox Wash,Lavagem Shampoo,"Shampoo automotivo concentrado com alto poder de limpeza e brilho.",39.90,hydrox_wash.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Intense,Proteção de Pintura,"Cera líquida que intensifica a cor e protege a pintura.",34.90,intense.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Lizer,Limpeza Geral,"Produto indicado para limpeza eficiente de diversas superfícies internas e externas.",44.90,lzer.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Prizm,Proteção de Pintura,"Selante sintético com alta durabilidade e efeito vitrificado.",39.90,prizm.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Restaurax,Plásticos Externos,"Restaurador de plásticos externos com proteção UV.",49.90,restaurax.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Shiny Pneu,Pneus e Borrachas,"Finalizador de pneus com brilho intenso e duradouro.",59.90,shiny_pneu.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Sinergy Paint,Proteção de Pintura,"Proteção avançada para pintura com toque liso e brilho profundo.",119.90,sinergypaint.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Sinergy Wheel,Rodas,"Produto específico para limpeza e proteção de rodas.",89.90,sinergywhell.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Sintra,Limpeza Pesada,"Multilimpador concentrado indicado para sujeiras pesadas.",39.90,sintra.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Tok Final,Acabamento,"Finalizador para realce de brilho e proteção da superfície.",44.90,tokfinal.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
V-Mol Shampoo,Lavagem Shampoo,"Shampoo neutro ideal para lavagens frequentes e manutenção.",75.90,v_mol_shampoo.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
Vexus,Proteção de Pintura,"Cera híbrida de alta performance e longa durabilidade.",42.90,vexus.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
V-Floc,Lavagem Shampoo,"Shampoo com espuma densa e alto rendimento.",19.90,vfloc.jpg,https://www.mercadolivre.com.br/,https://www.shopify.com/br
